Ürün Adı,Ürün Kodu,Fiyat (USD),CAS Numarası,Marka
"FREEZE DRYER - DİKEY TİP 1.8 Litre 8 Port Stoperli Odalı","BK-FD18P","15850-21030","",Biobase
"FREEZE DRYER - DİKEY TİP 0.9 Litre Standart Odalı","BK-FD18T","14100-19280","",Biobase
"FREEZE DRYER - DİKEY TİP 0.9 Litre 8 Port Stoperli Odalı","BK-FD18PT","17250-23790","",Biobase
"FREEZE DRYER - PİLOT TİP 4.5 Litre Standart Odalı","BK-FD20S","36060","",Biobase
"FREEZE DRYER - PİLOT TİP 4.5 Litre Hidrolik Stoperli Odalı","BK-FD20T","44080","",Biobase
"FREEZE DRYER - PİLOT TİP 7 Litre Standart Odalı","BK-FD30S","46480","",Biobase
"FREEZE DRYER - PİLOT TİP 7 Litre Hidrolik Stoperli Odalı","BK-FD30T","52090","",Biobase
"FREEZE DRYER - PİLOT TİP 8 Litre Standart Odalı","BK-FD50S","52090","",Biobase
"FREEZE DRYER - PİLOT TİP 8 Litre Hidrolik Stoperli Odalı","BK-FD50T","64110","",Biobase
"FREEZE DRYER - PİLOT TİP 16 Litre Standart Odalı","BK-FD100S","54780","",Biobase
"FREEZE DRYER - PİLOT TİP 16 Litre Hidrolik Stoperli Odalı","BK-FD100T","64280","",Biobase
"DONDURUCU - TUNA -60°C 58 Litre","BDF-60H58","3890","",Biobase
"DONDURUCU - TUNA -60°C 118 Litre","BDF-60H118A","4320","",Biobase
"DONDURUCU - TUNA -60°C 218 Litre","BDF-60H218","4550","",Biobase
"DONDURUCU - TUNA -60°C 318 Litre","BDF-60H318","4980","",Biobase
"DONDURUCU - TUNA -60°C 458 Litre","BDF-60H458","7980","",Biobase
"DONDURUCU - -25°C DİKEY TİP 268 Litre","BDF-25V268","4970","",Biobase
"DONDURUCU - -25°C DİKEY TİP 270 Litre","BDF-25V270","4160","",Biobase
"DONDURUCU - -25°C DİKEY TİP 328 Litre","BDF-25V328","5990","",Biobase
"DONDURUCU - -25°C DİKEY TİP 259 Litre","BDF-25V259","4890","",Biobase
"DONDURUCU - -25°C DİKEY TİP 450 Litre","BDF-25V450","6440","",Biobase
"DONDURUCU - -25°C YATAY TİP 150 Litre","BDF-25H150","1980","",Biobase
"DONDURUCU - -25°C YATAY TİP 200 Litre","BDF-25H200","2150","",Biobase
"DONDURUCU - -25°C YATAY TİP 300 Litre","BDF-25H300","2450","",Biobase
"DONDURUCU - -25°C YATAY TİP 389 Litre","BDF-25H389","2880","",Biobase
"DONDURUCU - -25°C YATAY TİP 525 Litre","BDF-25H525","3460","",Biobase
"DONDURUCU - -40°C DİKEY TİP 90 Litre","BDF-40V90","4140","",Biobase
"DONDURUCU - -40°C DİKEY TİP 270 Litre","BDF-40V270","6150","",Biobase
"DONDURUCU - -40°C DİKEY TİP 268 Litre","BDF-40V268","6080","",Biobase
"DONDURUCU - -40°C DİKEY TİP 328 Litre","BDF-40V328","6680","",Biobase
"DONDURUCU - -40°C YATAY TİP 100 Litre","BDF-40H100","2670","",Biobase
"DONDURUCU - -40°C YATAY TİP 200 Litre","BDF-40H200","3540","",Biobase
"DONDURUCU - -40°C YATAY TİP 300 Litre","BDF-40H300","3750","",Biobase
"DONDURUCU - -40°C YATAY TİP 390 Litre","BDF-40H390","5810","",Biobase
"DONDURUCU - -40°C YATAY TİP 485 Litre","BDF-40H485","6120","",Biobase
"DONDURUCU - -40°C DİKEY TİP 253 Litre","BDF-40V253","8990","",Biobase
"DONDURUCU - -40°C DİKEY TİP 288 Litre","BDF-40V288A","9450","",Biobase
"DONDURUCU - -40°C DİKEY TİP 525 Litre","BDF-40V525","10800","",Biobase
"DONDURUCU - -40°C DİKEY TİP 450 Litre","BDF-40V450","7380","",Biobase
"BUZ YAPICI - PUL ŞEKLİNDE 20 kg","FIM20","2710","",Biobase
"BUZ YAPICI - PUL ŞEKLİNDE 30 kg","FIM30","2770","",Biobase
"BUZ YAPICI - PUL ŞEKLİNDE 40 kg","FIM40","3750","",Biobase
"BUZ YAPICI - PUL ŞEKLİNDE 50 kg","FIM50","3870","",Biobase
"BUZ YAPICI - PUL ŞEKLİNDE 60 kg","FIM60","4150","",Biobase
"BUZ YAPICI - PUL ŞEKLİNDE 70 kg","FIM70","4310","",Biobase
"BUZ YAPICI - PUL ŞEKLİNDE 85 kg","FIM85","4700","",Biobase
"BUZ YAPICI - PUL ŞEKLİNDE 100 kg","FIM100","4810","",Biobase
"BUZ YAPICI - PUL ŞEKLİNDE 130 kg","FIM130","4980","",Biobase
"BUZ YAPICI - PUL ŞEKLİNDE 150 kg","FIM150","5250","",Biobase
"BUZ YAPICI - PUL ŞEKLİNDE 200 kg","FIM200","7420","",Biobase
"BUZ YAPICI - PUL ŞEKLİNDE 250 kg","FIM250","7690","",Biobase
"BUZ YAPICI - PUL ŞEKLİNDE 300 kg","FIM300","7950","",Biobase
"BUZ YAPICI - KARE ŞEKLİNDE 40 kg","LIM40-S","2240","",Biobase
"BUZ YAPICI - KARE ŞEKLİNDE 80 kg","LIM80-S","4900","",Biobase
"BUZ YAPICI - KARE ŞEKLİNDE 210 kg","LIM210-S","6950","",Biobase
"KAN SAKLAMA DOLABI - 120 Litre","BXC-V120B","4120","",Biobase
"KAN SAKLAMA DOLABI - 160 Litre","BXC-V160B","5760","",Biobase
"KAN SAKLAMA DOLABI - 210 Litre","BXC-V210B","6490","",Biobase
"KAN SAKLAMA DOLABI - 300 Litre","BXC-V300B","6290","",Biobase
"KAN SAKLAMA DOLABI - 400 Litre","BXC-V400B","7820","",Biobase
"KAN SAKLAMA DOLABI - 650 Litre (2 Kapılı)","BXC-V650B","8780","",Biobase
"KAN SAKLAMA DOLABI - 1000 Litre (2 Kapılı)","BXC-V1000B","10890","",Biobase
"KAN SAKLAMA DOLABI - 250 Litre (EKONOMİK)","BXC-V250B","4610","",Biobase
"KAN SAKLAMA DOLABI - 310 Litre","BXC-V310B","5050","",Biobase
"MEDİKAL BUZDOLABI - 260 Litre Tek Kapılı","BXC-V260M","2400","",Biobase
"MEDİKAL BUZDOLABI - 360 Litre Tek Kapılı","BXC-V360M","2660","",Biobase
"MEDİKAL BUZDOLABI - 650 Litre Çift Kapılı","BXC-V650M","5680","",Biobase
"MEDİKAL BUZDOLABI - 1000 Litre Çift Kapılı","BXC-V1000M","6990","",Biobase
"MEDİKAL BUZDOLABI - 1500 Litre Çift Kapılı","BXC-V1500M","11280","",Biobase
"MEDİKAL BUZDOLABI - 50 Litre Köpük Kapak","BXC-V50M-F","1250","",Biobase
"MEDİKAL BUZDOLABI - 70 Litre Köpük Kapak","BXC-V70M-F","1350","",Biobase
"MEDİKAL BUZDOLABI - 95 Litre Köpük Kapak","BXC-V95M-F","1490","",Biobase
"MEDİKAL BUZDOLABI - 130 Litre Köpük Kapak","BXC-V130M-F","1580","",Biobase
"MEDİKAL BUZDOLABI - 105 Litre Köpük Kapak","BXC-V105M-F","1690","",Biobase
"MEDİKAL BUZDOLABI - 50 Litre Cam Kapak","BXC-V50M-G","1730","",Biobase
"MEDİKAL BUZDOLABI - 70 Litre Cam Kapak","BXC-V70M-G","1800","",Biobase
"MEDİKAL BUZDOLABI - 95 Litre Cam Kapak","BXC-V95M-G","1900","",Biobase
"MEDİKAL BUZDOLABI - 130 Litre Cam Kapak","BXC-V130M-G","2300","",Biobase
"MEDİKAL BUZDOLABI - 105 Litre Cam Kapak","BXC-V105M-G","2200","",Biobase
"ROTARY EVAPORATÖR - 1 Litre","RE-201D","2390","",Biobase
"ROTARY EVAPORATÖR - 3 Litre","RE-301","3280","",Biobase
"ROTARY EVAPORATÖR - 5 Litre","RE-501","5760","",Biobase
"ROTARY EVAPORATÖR - 10 Litre","RE-1002","7180","",Biobase
"ROTARY EVAPORATÖR - 20 Litre","RE-2002","7590","",Biobase
"SİRKÜLATÖR (RE-201D için)","CCA-420","1850","",Biobase
"SİRKÜLATÖR (RE-301 & RE-501 için)","DLSB-5/20","1850","",Biobase
"VAKUM POMPASI","SHZ-DIII","750","",Biobase
"HOMOJENİZATÖR - 8000-30000rpm","BK-HG160","2300","",Biobase
"HOMOJENİZATÖR - 10000-30000rpm","BK-HG500","3980","",Biobase
