Ürün Adı,Ürün Kodu,Fiyat (USD),CAS Numarası,Marka
"TEST KABİNİ - İklimlendirme (0°C/+65°C) 500 Litre","İTK-500","8170","",İLDAM
"TEST KABİNİ - İklimlendirme (0°C/+65°C) 1000 Litre","İTK-1000","13980","",İLDAM
"TEST KABİNİ - Klimatik (-40°C/+85°C) 120 Litre","KTK-120","9330","",İLDAM
"TEST KABİNİ - Klimatik (-40°C/+85°C) 250 Litre","KTK-250","11260","",İLDAM
"TEST KABİNİ - Klimatik (-40°C/+85°C) 500 Litre","KTK-500","14210","",İLDAM
"TEST KABİNİ - Klimatik (-40°C/+85°C) 1000 Litre","KTK-1000","22720","",İLDAM
"BİTKİ BÜYÜTME KABİNİ - 250 Litre","ILD-KBB-250","11970","",İLDAM
"BİTKİ BÜYÜTME KABİNİ - 400 Litre","ILD-KBB-400","13860","",İLDAM
"BİTKİ BÜYÜTME KABİNİ - 600 Litre","ILD-KBB-600","16790","",İLDAM
"STABİLİTE KABİNİ - Klimatik (-70°C/+150°C) 120 Litre","STK-120","14700","",İLDAM
"STABİLİTE KABİNİ - Klimatik (-70°C/+150°C) 250 Litre","STK-250","15210","",İLDAM
"STABİLİTE KABİNİ - Klimatik (-70°C/+150°C) 500 Litre","STK-500","21960","",İLDAM
"STABİLİTE KABİNİ - Klimatik (-70°C/+150°C) 1000 Litre","STK-1000","25750","",İLDAM
"STABİLİTE KABİNİ - Klimatik (-70°C/+150°C) 2000 Litre","STK-2000","64570","",İLDAM
"İNKÜBATÖR - CO2 80 Litre","ILD-CI-80","6090","",İLDAM
"İNKÜBATÖR - CO2 160 Litre","ILD-CI-160","8730","",İLDAM
"İNKÜBATÖR - Trombosit 1 Ajitatör","ECI-1","5640","",İLDAM
"İNKÜBATÖR - Trombosit 2 Ajitatör","ECI-2","7000","",İLDAM
"İNKÜBATÖR - Trombosit 3 Ajitatör","ECI-3","11970","",İLDAM
"İNKÜBATÖR - Standart 30 Litre","ILD-IN-30","1150","",İLDAM
"İNKÜBATÖR - Standart 55 Litre","ILD-IN-55","1200","",İLDAM
"İNKÜBATÖR - Standart 120 Litre","ILD-IN-120","1400","",İLDAM
"İNKÜBATÖR - Standart 250 Litre","ILD-IN-250","2400","",İLDAM
"İNKÜBATÖR - Soğutmalı Çalkalamalı 30 Litre","ILD-ICS-30","4100","",İLDAM
"İNKÜBATÖR - Soğutmalı Çalkalamalı 55 Litre","ILD-ICS-55","4270","",İLDAM
"İNKÜBATÖR - Soğutmalı Çalkalamalı 120 Litre","ILD-ICS-120","5050","",İLDAM
"İNKÜBATÖR - Soğutmalı Çalkalamalı 250 Litre","ILD-ICS-250","8000","",İLDAM
"İNKÜBATÖR - Soğutmalı 30 Litre","ILD-INS-30","3100","",İLDAM
"İNKÜBATÖR - Soğutmalı 55 Litre","ILD-INS-55","3430","",İLDAM
"İNKÜBATÖR - Soğutmalı 80 Litre","ILD-INS-80","5220","",İLDAM
"İNKÜBATÖR - Çalkalamalı 55 Litre","ILD-IC-55","3300","",İLDAM
"İNKÜBATÖR - Çalkalamalı 120 Litre","ILD-IC-120","3810","",İLDAM
"LAMINAR FLOW - Yatay Tip 18008202070 mm","LAF-H1300","4510","",İLDAM
"LAMINAR FLOW - Yatay Tip 13008202040 mm","LAF-H1800","5690","",İLDAM
"LAMINAR FLOW - Yatay Tip 11008081690 mm","LAF-H1100","3350","",İLDAM
"LAMINAR FLOW - Yatay Tip 15008081690 mm","LAF-H1500","4710","",İLDAM
"LAMINAR FLOW - Dikey Tip 6804101160 mm","LAF-V680","2690","",İLDAM
"LAMINAR FLOW - Dikey Tip 8026501550 mm","LAF-V800","2360","",İLDAM
"LAMINAR FLOW - Dikey Tip 13007502040 mm","LAF-V1300","4870","",İLDAM
"LAMINAR FLOW - Dikey Tip 18007502040 mm","LAF-V1800","6090","",İLDAM
"LAMINAR FLOW - Yatay Tip 14406601770 mm","LAF-SSC","4300","",İLDAM
"LAMINAR FLOW - Yatay Tip 10406601770 mm","LAF-DSC","3410","",İLDAM
"LAMINAR FLOW - Yatay Tip 14406151770 mm","LAF-SDC","4040","",İLDAM
"LAMINAR FLOW - Yatay Tip 10406151770 mm","LAF-DDC","3030","",İLDAM
"ÇEKER OCAK - Tezgah Üstü 900670910 mm","FH-90 (T)","1900","",İLDAM
"ÇEKER OCAK - Tezgah Üstü 1200670910 mm","FH-120 (T)","2130","",İLDAM
"ÇEKER OCAK - Tezgah Üstü 1500700910 mm","FH-150 (T)","2460","",İLDAM
"ÇEKER OCAK - Tezgah Üstü 1800700910 mm","FH-180 (T)","3400","",İLDAM
"ÇEKER OCAK - Polipropilen (PP) 9806002100 mm","FH-120 (P)","5020","",İLDAM
"ÇEKER OCAK - Polipropilen (PP) 12806002100 mm","FH-150 (P)","5520","",İLDAM
"ÇEKER OCAK - Polipropilen (PP) 15806002100 mm","FH-180 (P)","6190","",İLDAM
"ÇEKER OCAK - Kanallı 9006702100 mm","FH-90 (A)","2450","",İLDAM
"ÇEKER OCAK - Kanallı 12006702100 mm","FH-120 (A)","2850","",İLDAM
"ÇEKER OCAK - Kanallı 15007002100 mm","FH-150 (A)","3250","",İLDAM
"ÇEKER OCAK - Kanallı 18007002100 mm","FH-180 (A)","4350","",İLDAM
"ÇEKER OCAK - Masaüstü 640550700 mm","CHF-700","2390","",İLDAM
"BİYOGÜVENLİK KABİNİ - Standart 9006202100 mm","ILD-BGK-90","5910","",İLDAM
"BİYOGÜVENLİK KABİNİ - Standart 12006202100 mm","ILD-BGK-120","7220","",İLDAM
"BİYOGÜVENLİK KABİNİ - Standart 15006502100 mm","ILD-BGK-150","8170","",İLDAM
"BİYOGÜVENLİK KABİNİ - Standart 18006502100 mm","ILD-BGK-180","8940","",İLDAM
"BİYOGÜVENLİK KABİNİ - Standart 7006501230 mm","ILD-BGK-70","5140","",İLDAM
"BİYOGÜVENLİK KABİNİ - CLASS II A2 940600660 mm","GKA-1100","8120","",İLDAM
"BİYOGÜVENLİK KABİNİ - CLASS II A2 1150600660 mm","GKA-1300","8570","",İLDAM
"BİYOGÜVENLİK KABİNİ - CLASS II A2 1350600660 mm","GKA-1500","9310","",İLDAM
"PCR KABİNİ - Standart 700595550 mm","PCR-800","3630","",İLDAM
"PCR KABİNİ - Standart 900595560 mm","PCR-1000","3800","",İLDAM
"PCR KABİNİ - Standart 1100595550 mm","PCR-1200","3970","",İLDAM
"PCR KABİNİ - Standart 1200595550 mm","PCR-1300","4130","",İLDAM
"PCR KABİNİ - Standart 1400595550 mm","PCR-1500","4470","",İLDAM
"BANYO - Sirkülasyonlu 12 Litre","BSI-12","960","",İLDAM
"BANYO - Sirkülasyonlu 30 Litre","BSI-30","1060","",İLDAM
"BANYO - Sirkülasyonlu 48 Litre","BSI-48","1480","",İLDAM
"BANYO - Soğutmalı ve Sirkülasyonlu 7 Litre","SS-7","3700","",İLDAM
"BANYO - Soğutmalı ve Sirkülasyonlu 15 Litre","SS-15","4140","",İLDAM
"BANYO - Çalkalamalı 30 Litre","ILD-CLK30","2340","",İLDAM
"BANYO - Çalkalamalı 60 Litre","ILD-CLK-60","3260","",İLDAM
"BANYO - Kum - Plaka 3030","ILD-BK-3030","1160","",İLDAM
"BANYO - Kum - Plaka 4040","ILD-BK-4040","1690","",İLDAM
"BANYO - Soğutmalı 15 Litre","ILD-BSO-15","3190","",İLDAM
"BANYO - Soğutmalı 30 Litre","ILD-BSO-30","3510","",İLDAM
"BANYO - Yağ 6 Litre","ILD-BY-6","1380","",İLDAM
"BANYO - Yağ 12 Litre","ILD-BY-12","1790","",İLDAM
"BANYO - Yağ 30 Litre","ILD-BY-30","1930","",İLDAM
"BANYO - Yağ 48 Litre","ILD-BY-48","2550","",İLDAM
"BANYO - Standart 6 Litre","ILD-BS-6","800","",İLDAM
"BANYO - Standart 12 Litre","ILD-BS-12","990","",İLDAM
"BANYO - Standart 30 Litre","ILD-BS-30","1080","",İLDAM
"BANYO - Standart 48 Litre","ILD-BS-48","1550","",İLDAM
"BANYO - Ultrasonik 4 Litre","ILD-BSU-001","1100","",İLDAM
"BANYO - Ultrasonik 8 Litre","ILD-BSU-002","1400","",İLDAM
"BANYO - Ultrasonik 10 Litre","ILD-BSU-003","1550","",İLDAM
"BANYO - Ultrasonik 12 Litre","ILD-BSU-004","2250","",İLDAM
"BANYO - Ultrasonik 18 Litre","ILD-BSU-005","2650","",İLDAM
"BANYO - Ultrasonik 28 Litre","ILD-BSU-006","3100","",İLDAM
"BANYO - Soğutmalı ve Sirkülasyonlu 15 Litre","ILD-BSS-15","2860","",İLDAM
"BANYO - Soğutmalı ve Sirkülasyonlu 30 Litre","ILD-BSS-30","3240","",İLDAM
"KÜL FIRINI - Standart 7 Litre","ILD-FKU-7","2390","",İLDAM
"KÜL FIRINI - Standart 12 Litre","ILD-FKU-12","2660","",İLDAM
"KÜL FIRINI - Standart 16 Litre","ILD-FKU-16","3120","",İLDAM
"KÜL FIRINI - Standart 29 Litre","ILD-FKU-29","5640","",İLDAM
"ÇALKALAYICI - Trombosit 30 Kutu","EAJ-05","2600","",İLDAM
"ÇALKALAYICI - Trombosit 54 Kutu","EAJ-09","2980","",İLDAM
"ÇALKALAYICI - Trombosit 100 Kutu","EAJ-L09","4790","",İLDAM
"ÇALKALAYICI - Orbital 335225 mm","ILD-OC-01","2090","",İLDAM
"ÇALKALAYICI - Orbital 435435 mm","ILD-OC-02","2510","",İLDAM
"ÇALKALAYICI - Orbital 645645 mm","ILD-OC-03","3050","",İLDAM
"ISITICILI MANYETİK KARIŞTIRICI - 190190 mm | 10 Litre","ILD-KIM-190","750","",İLDAM
"SAKLAMA DOLABI - Kimyasal - Fansız 9005001950 mm","ILD-DKM-90","1600","",İLDAM
"SAKLAMA DOLABI - Kimyasal - Fansız 12005001950 mm","ILD-DKM-120","1750","",İLDAM
"SAKLAMA DOLABI - Kimyasal - Fanlı 9005001950 mm","ILD-DKM-90F","2000","",İLDAM
"SAKLAMA DOLABI - Kimyasal - Fanlı 1200500*1950 mm","ILD-DKM-120F","2150","",İLDAM
"SAKLAMA DOLABI - Kan Saklama 70 Litre","EKN-25","3160","",İLDAM
"SAKLAMA DOLABI - Kan Saklama 165 Litre","EKN-50","3900","",İLDAM
"SAKLAMA DOLABI - Kan Saklama 223 Litre","EKN-100","4630","",İLDAM
"SAKLAMA DOLABI - Kan Saklama 390 Litre","EKN-200","6580","",İLDAM
"SAKLAMA DOLABI - Kan Saklama 632 Litre","EKN-300","7960","",İLDAM
"SAKLAMA DOLABI - Kan Saklama 1312 Litre","EKN-600","11580","",İLDAM
"SAKLAMA DOLABI - Anne Sütü Saklama 100 Biberon","ANS-F-150","6380","",İLDAM
"SAKLAMA DOLABI - Anne Sütü Saklama 60 Biberon","ANS-E-175","4790","",İLDAM
"SAKLAMA DOLABI - Anne Sütü Saklama 120 Biberon","ANS-D-425","6990","",İLDAM
"YAĞ TAYİN CİHAZI - 2'li","ILD-YAG-2","1600","",İLDAM
"YAĞ TAYİN CİHAZI - 4'lü","ILD-YAG-4","2260","",İLDAM
"YAĞ TAYİN CİHAZI - 6'lı","ILD-YAG-6","2490","",İLDAM
"DONDURUCU - -86°C Ultra Dikey Tip 160 Litre","DF-160","8620","",İLDAM
"DONDURUCU - -86°C Ultra Dikey Tip 210 Litre","DF-210","8900","",İLDAM
"DONDURUCU - -86°C Ultra Dikey Tip 340 Litre","DF-340","10900","",İLDAM
"DONDURUCU - -86°C Ultra Dikey Tip 450 Litre","DF-450","12950","",İLDAM
"DONDURUCU - -86°C Ultra Dikey Tip 600 Litre","DF-600","14780","",İLDAM
"DONDURUCU - -86°C Ultra Dikey Tip 720 Litre","DF-720","15580","",İLDAM
"DONDURUCU - -86°C Ultra Dikey Tip 850 Litre","DF-850","17280","",İLDAM
"DONDURUCU - -30°C Dikey Tip 180 Litre","EE-150","5970","",İLDAM
"DONDURUCU - -30°C Dikey Tip 360 Litre","EE-300","6940","",İLDAM
"DONDURUCU - -30°C Dikey Tip 620 Litre","EE-600","8370","",İLDAM
"DONDURUCU - -40°C Dikey Tip 180 Litre","EF-150","6790","",İLDAM
"DONDURUCU - -40°C Dikey Tip 360 Litre","EF-300","7940","",İLDAM
"DONDURUCU - -40°C Dikey Tip 620 Litre","EF-600","8780","",İLDAM
"BUZDOLABI - Aşı - Kit - Serum Dolabı 65 Litre","EKT(B)-80","2530","",İLDAM
"BUZDOLABI - Aşı - Kit - Serum Dolabı 200 Litre","EKT(B)-175","3130","",İLDAM
"BUZDOLABI - Aşı - Kit - Serum Dolabı 260 Litre","EKT(B)-250","3420","",İLDAM
"BUZDOLABI - Aşı - Kit - Serum Dolabı 368 Litre","EKT(B)-425","3710","",İLDAM
"BUZDOLABI - Aşı - Kit - Serum Dolabı 580 Litre","EKT(B)-725","5730","",İLDAM
"BUZDOLABI - Aşı - Kit - Serum Dolabı 1166 Litre","EKT(B)-1450","9320","",İLDAM
"BUZDOLABI - Aşı - Kit - Serum Dolabı 65 Litre","EKT-A-80","2370","",İLDAM
"BUZDOLABI - Aşı - Kit - Serum Dolabı 200 Litre","EKT-A-175","2590","",İLDAM
"BUZDOLABI - Aşı - Kit - Serum Dolabı 260 Litre","EKT-A-250","3180","",İLDAM
"BUZDOLABI - Aşı - Kit - Serum Dolabı 368 Litre","EKT-A-425","3560","",İLDAM
"BUZDOLABI - Aşı - Kit - Serum Dolabı 580 Litre","EKT-A-725","5600","",İLDAM
"BUZDOLABI - Aşı - Kit - Serum Dolabı 1166 Litre","EKT-A-1450","9160","",İLDAM
"BUZDOLABI - Aşı - İlaç Saklama Çift Bölmeli 230+80 Litre","EKT-D-425","5970","",İLDAM
"BUZDOLABI - Aşı - İlaç Saklama Çift Bölmeli 350+148 Litre","EKT-D-500","6790","",İLDAM
"SANTRİFÜJ - Büyük Kapasiteli","DL-5","3600","",İLDAM
"SANTRİFÜJ - Düşük Hızlı","SC-50","1000","",İLDAM
"SANTRİFÜJ - Yüksek Hızlı","HHC-16","1690","",İLDAM
"SAF SU CİHAZI - Distile 4 Litre / Saat","ILD-DS-04","1350","",İLDAM
"SAF SU CİHAZI - Distile 8 Litre / Saat","ILD-DS-08","1700","",İLDAM
"SAF SU CİHAZI - Distile 12 Litre / Saat","ILD-DS-12","2500","",İLDAM
"SAF SU CİHAZI - Otomatik Depolu 2 Litre Depo 5 lt/s Üretim","ILD-SSCD-5","3250","",İLDAM
"CAM REAKTÖR - 5 Litre","ILD5L","5700","",İLDAM
"CAM REAKTÖR - 10 Litre","ILD10L","6100","",İLDAM
"CAM REAKTÖR - 20 Litre","ILD20L","7100","",İLDAM
"CAM REAKTÖR - 30 Litre","ILD30L","7900","",İLDAM
"CAM REAKTÖR - 50 Litre","ILD50L","10900","",İLDAM
"CAM REAKTÖR - 100 Litre","ILD100L","17250","",İLDAM
"CAM REAKTÖR - 200 Litre","ILD200L","50800","",İLDAM
